ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10107,30,95.7,2,2871,2/24/2003,Shipped,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Small
10121,34,81.35,5,2765.9,5/7/2003,Shipped,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small
10134,41,94.74,2,3884.34,7/1/2003,Shipped,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,45,83.26,6,3746.7,8/25/2003,Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,49,100,14,4900,10/10/2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Large
10168,36,96.66,1,3479.76,10/28/2003,Shipped,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,(650) 555-4618,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180,29,86.13,9,2497.77,11/11/2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,(617) 555-3091,184 Rodney Street,,Boston,MA,2134,USA,NA,Rancé,Martine,Small
10188,48,100,1,4800,11/18/2003,Shipped,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,Drammen 121 Lyngby,,Drammen,,N 1547,Norway,EMEA,Oeztan,Veysel,Large
10201,22,98.57,2,2168.54,12/1/2003,Shipped,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Small
10211,41,100,14,4100,1/15/2004,Shipped,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,25 rue Lauriston,,Paris,,75016,France,EMEA,Perrier,Dominique,Large
10223,37,100,1,3700,2/20/2004,Shipped,1,2,2004,Motorcycles,95,S10_1678,Australian Collectors Co.,61-9-3844-6555,636 St Kilda Road Level 3,,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10237,23,100,7,2300,4/5/2004,Shipped,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd. Suite 101,,NYC,NY,10022,USA,NA,Frick,Michael,Small
10251,28,94.74,2,2652.72,5/18/2004,Shipped,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Small
10263,34,100,2,3400,6/28/2004,Shipped,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10275,45,81.35,1,3660.75,7/23/2004,Shipped,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,(26) 47-1555,67 rue des Cinquante Otages,,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10285,36,100,3,3600,8/27/2004,Shipped,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10299,23,100,9,2300,9/30/2004,Shipped,3,9,2004,Motorcycles,95,S10_1678,Toys of Finland Co.,90-224-8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small
10309,41,89.30,5,3661.3,10/15/2004,Shipped,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavanger,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10318,46,86.13,1,3962.98,11/2/2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,(215) 555-4555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10329,42,100,2,4200,11/15/2004,Shipped,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Large
